query,ground_truth_original,ground_truth,predicted,confidence,is_correct
How far is the moon?,GENERAL_QUESTION,General,General,0.5456,True
What is photosynthesis?,GENERAL_QUESTION,General,General,0.5456,True
List all crops grown in Punjab.,DATABASE_QUESTION,SQL,SQL,0.7395,True
You are helpful.,GENERAL_QUESTION,General,General,0.5456,True
Do we have temperature data for Kolkata?,DATABASE_QUESTION,SQL,SQL,0.7052,True
Tell me a story.,GENERAL_QUESTION,General,General,0.7143,True
What is the reservoir level of Lucknow?,DATABASE_QUESTION,SQL,General,0.5456,False
Who is the Prime Minister?,GENERAL_QUESTION,General,General,0.5456,True
How much Potato was produced in 2010?,DATABASE_QUESTION,SQL,SQL,0.6745,True
What is the yield of Cotton in Thiruvananthapuram?,DATABASE_QUESTION,SQL,SQL,0.6592,True
Tell me a joke.,GENERAL_QUESTION,General,General,0.7143,True
What matches are on today?,GENERAL_QUESTION,General,General,0.5456,True
Compare rainfall between Gujarat and West Bengal in 2017.,DATABASE_QUESTION,SQL,SQL,0.8182,True
List all crops grown in Lucknow.,DATABASE_QUESTION,SQL,SQL,0.6659,True
Do you sleep?,GENERAL_QUESTION,General,General,0.5456,True
Show crop yields for 2012.,DATABASE_QUESTION,SQL,General,0.5933,False
Do you sleep?,GENERAL_QUESTION,General,General,0.5456,True
What is the yield of Sugarcane in Patna?,DATABASE_QUESTION,SQL,SQL,0.7461,True
Why is the sky blue?,GENERAL_QUESTION,General,General,0.5456,True
Tell me the humidity levels in Kerala.,DATABASE_QUESTION,SQL,General,0.5312,False
What matches are on today?,GENERAL_QUESTION,General,General,0.5456,True
Was there a drought in Punjab in 2017?,DATABASE_QUESTION,SQL,SQL,0.6735,True
How many countries in the world?,GENERAL_QUESTION,General,General,0.5456,True
How are you?,GENERAL_QUESTION,General,General,0.5456,True
How many continents are there?,GENERAL_QUESTION,General,General,0.5456,True
Tell me the humidity levels in Karnataka.,DATABASE_QUESTION,SQL,SQL,0.622,True
What is 2 + 2?,GENERAL_QUESTION,General,General,0.5456,True
What is the meaning of life?,GENERAL_QUESTION,General,General,0.5456,True
What is the minimum temperature in West Bengal?,DATABASE_QUESTION,SQL,SQL,0.8165,True
Was there a drought in Patna in 2010?,DATABASE_QUESTION,SQL,SQL,0.5337,True
What is the time now?,GENERAL_QUESTION,General,General,0.5456,True
Do you sleep?,GENERAL_QUESTION,General,General,0.5456,True
How are you?,GENERAL_QUESTION,General,General,0.5456,True
What is the minimum temperature in Kerala?,DATABASE_QUESTION,SQL,SQL,0.782,True
Who discovered gravity?,GENERAL_QUESTION,General,General,0.5456,True
How many continents are there?,GENERAL_QUESTION,General,General,0.5456,True
Who is the Prime Minister?,GENERAL_QUESTION,General,General,0.5456,True
Tell me the humidity levels in Ludhiana.,DATABASE_QUESTION,SQL,General,0.5312,False
Explain quantum physics.,GENERAL_QUESTION,General,General,0.8803,True
How do I cook rice?,GENERAL_QUESTION,General,SQL,0.6325,False
How many countries in the world?,GENERAL_QUESTION,General,General,0.5456,True
What is the minimum temperature in Karnataka?,DATABASE_QUESTION,SQL,SQL,0.7647,True
Who won the world cup?,GENERAL_QUESTION,General,General,0.5456,True
How to make coffee?,GENERAL_QUESTION,General,General,0.5456,True
What is the largest animal?,GENERAL_QUESTION,General,General,0.5456,True
Show crop yields for 2012.,DATABASE_QUESTION,SQL,General,0.5933,False
What was the total rainfall in West Bengal in 2003?,DATABASE_QUESTION,SQL,SQL,0.7873,True
What is the best movie?,GENERAL_QUESTION,General,General,0.717,True
Who is the CEO of Google?,GENERAL_QUESTION,General,General,0.5456,True
Where do you live?,GENERAL_QUESTION,General,General,0.5456,True
How do I cook rice?,GENERAL_QUESTION,General,SQL,0.6325,False
How much Maize was produced in 2020?,DATABASE_QUESTION,SQL,SQL,0.687,True
Find the maximum temperature of Kerala in 2003.,DATABASE_QUESTION,SQL,SQL,0.782,True
What is the yield of Wheat in Bangalore?,DATABASE_QUESTION,SQL,SQL,0.7602,True
How much Potato was produced in 2009?,DATABASE_QUESTION,SQL,SQL,0.716,True
What is the reservoir level of Lucknow?,DATABASE_QUESTION,SQL,General,0.5456,False
"What is the total rainfall for Odisha in December, 2009?",DATABASE_QUESTION,SQL,SQL,0.6124,True
Hello,GENERAL_QUESTION,General,General,0.5456,True
Did it rain in Uttar Pradesh on 11/11/2010?,DATABASE_QUESTION,SQL,SQL,0.8656,True
Who created you?,GENERAL_QUESTION,General,General,0.5456,True
What is the average rainfall in Lucknow?,DATABASE_QUESTION,SQL,SQL,0.6796,True
How's the weather today?,GENERAL_QUESTION,General,General,0.5456,True
Sing a song.,GENERAL_QUESTION,General,General,0.5456,True
What is the minimum temperature in Visakhapatnam?,DATABASE_QUESTION,SQL,SQL,0.782,True
Do you sleep?,GENERAL_QUESTION,General,General,0.5456,True
What is photosynthesis?,GENERAL_QUESTION,General,General,0.5456,True
What is the yield of Potato in Lucknow?,DATABASE_QUESTION,SQL,SQL,0.9068,True
What is the currency of Japan?,GENERAL_QUESTION,General,General,0.5456,True
Count of districts in Bihar.,DATABASE_QUESTION,SQL,SQL,0.7188,True
Who is the Prime Minister?,GENERAL_QUESTION,General,General,0.5456,True
What is ISI?,GENERAL_QUESTION,General,General,0.5456,True
Hello,GENERAL_QUESTION,General,General,0.5456,True
Was there a drought in West Bengal in 2005?,DATABASE_QUESTION,SQL,SQL,0.7654,True
What is the best programming language?,GENERAL_QUESTION,General,General,0.717,True
Count of districts in Karnataka.,DATABASE_QUESTION,SQL,SQL,0.7298,True
Show crop yields for 2021.,DATABASE_QUESTION,SQL,General,0.6072,False
What was the total rainfall in Uttar Pradesh in 2010?,DATABASE_QUESTION,SQL,SQL,0.7587,True
List all crops grown in Odisha.,DATABASE_QUESTION,SQL,SQL,0.6659,True
Show me the production of Maize in Odisha for 2013.,DATABASE_QUESTION,SQL,SQL,0.6651,True
How many continents are there?,GENERAL_QUESTION,General,General,0.5456,True
Why is the sky blue?,GENERAL_QUESTION,General,General,0.5456,True
Show crop yields for 2014.,DATABASE_QUESTION,SQL,General,0.5861,False
Is there any data for Zaid season in West Bengal?,DATABASE_QUESTION,SQL,SQL,0.8103,True
Who wrote Harry Potter?,GENERAL_QUESTION,General,General,0.5456,True
List all crops grown in Karnataka.,DATABASE_QUESTION,SQL,SQL,0.7808,True
What is the date today?,GENERAL_QUESTION,General,General,0.5456,True
