text,label
Compare rainfall between Andhra Pradesh and Odisha in 2005.,sql
Show me the production of Cotton in Kerala for 2010.,sql
What is the minimum temperature in Bhubaneswar?,sql
How to create a new dataset?,platform
What is the smallest bird?,general
What is ISI?,general
Can you help me with math?,general
How's the weather today?,general
What are the key features of NPCYF?,platform
I am bored.,general
How far is the moon?,general
Was there a drought in Kerala in 2000?,sql
Was there a drought in Karnataka in 2018?,sql
What is the reservoir level of Lucknow?,sql
What was the total rainfall in Odisha in 2003?,sql
Count of districts in Andhra Pradesh.,sql
"What is the total rainfall for Bangalore in December, 2003?",sql
How to create a Feature Master?,platform
What was the highest temperature recorded in Ahmedabad?,sql
How to use the Data Ingestion tutorial?,platform
How many continents are there?,general
What is the stock price of Apple?,general
What is the yield of Jute in Uttar Pradesh?,sql
What can you do?,general
How to reset my password?,platform
List all crops grown in Visakhapatnam.,sql
What is the time now?,general
List all crops grown in Bangalore.,sql
Where can I find trained models?,platform
Was there a drought in Odisha in 2020?,sql
What permissions does a Project Owner have?,platform
What is the largest animal?,general
How's the weather today?,general
I am bored.,general
How to export forecast results?,platform
How many countries in the world?,general
What are the system requirements for NPCYF?,platform
How do I cook rice?,general
What is Master Data Management?,platform
Count of districts in Uttar Pradesh.,sql
Tell me about Copilot.,platform
Was there a drought in Kerala in 2000?,sql
What is the reservoir level of Visakhapatnam?,sql
What is the reservoir level of Kolkata?,sql
How to validate data quality?,platform
What are the system requirements for NPCYF?,platform
What was the highest temperature recorded in Kolkata?,sql
"What is the total rainfall for Gujarat in July, 2013?",sql
Was there a drought in Lucknow in 2010?,sql
Explain quantum physics.,general
How much Jute was produced in 2023?,sql
What are the key features of NPCYF?,platform
How to install pandas?,general
Was there a drought in Ahmedabad in 2010?,sql
How to access the Admin Management section?,platform
How to configure a Model Building Config?,platform
Hello,general
I want to know about Data Ingestion.,platform
Define machine learning.,general
What is the average rainfall in Kerala?,sql
What is the time now?,general
What is the largest animal?,general
Tell me the humidity levels in Lucknow.,sql
How to reset my password?,platform
What is your name?,general
Show me the production of Wheat in Punjab for 2019.,sql
What is the reservoir level of Thiruvananthapuram?,sql
Where is Indian Statistical Institute?,general
Translate hello to Spanish.,general
What was the total rainfall in Bhubaneswar in 2003?,sql
Give me the area under Jute cultivation in Ludhiana.,sql
I want to know about User Roles.,platform
How to perform ETL operations?,platform
How to create a Feature Master?,platform
Count of districts in Punjab.,sql
Who is the founder of ISI?,general
How to perform ETL operations?,platform
Find the maximum temperature of Uttar Pradesh in 2000.,sql
How to view the logs?,platform
I need advice.,general
What is the minimum temperature in Bihar?,sql
What is the average rainfall in Gujarat?,sql
What is the reservoir level of Patna?,sql
Explain Feature Engineering.,platform
I want to know about Model Building.,platform
How to add a new crop to the system?,platform
Give me the area under Wheat cultivation in Karnataka.,sql
How to ingest data into the platform?,platform
Do you sleep?,general
What is a Training Feature Set?,platform
How to add a new user?,platform
How does Model Building work?,platform
What is the best movie?,general
What was the total rainfall in Gujarat in 2015?,sql
What is the IMD CRIS portal?,platform
What can you do?,general
What is AI?,general
How do I cook rice?,general
What was the highest temperature recorded in Karnataka?,sql
Who is the CEO of Google?,general
What is the speed of light?,general
Show crop yields for 2003.,sql
Find the maximum temperature of Thiruvananthapuram in 2020.,sql
What is FASAL 2.0?,platform
How many continents are there?,general
Count of districts in Karnataka.,sql
What is the average rainfall in Bhubaneswar?,sql
How many continents are there?,general
Give me the area under Sugarcane cultivation in Patna.,sql
What is FASAL 2.0?,platform
What is the best programming language?,general
How does Forecasting work?,platform
How to run a model training batch?,platform
How to view project details?,platform
How many continents are there?,general
Compare rainfall between Andhra Pradesh and Bihar in 2023.,sql
How to change my profile settings?,platform
Is there any data for Winter season in Ahmedabad?,sql
Where do you live?,general
How to configure a Model Building Config?,platform
How much Cotton was produced in 2020?,sql
How to create a new project?,platform
Who won the world cup?,general
What can you do?,general
What is the average rainfall in Patna?,sql
What is the currency of Japan?,general
How to make coffee?,general
Good morning,general
List all crops grown in Uttar Pradesh.,sql
Translate hello to Spanish.,general
Count of districts in Gujarat.,sql
How to upload APY data?,platform
Did it rain in Ludhiana on 1/9/2018?,sql
How to configure temporal intervals for features?,platform
What is photosynthesis?,general
Compare rainfall between Kerala and West Bengal in 2003.,sql
Do we have temperature data for Gujarat?,sql
Tell me about Feature Engineering.,platform
What is Exogenous Estimation Config?,platform
Do we have temperature data for Ludhiana?,sql
Is there any data for Monsoon season in Bhubaneswar?,sql
Where is Indian Statistical Institute?,general
What is the minimum temperature in Andhra Pradesh?,sql
I am bored.,general
I want to know about Copilot.,platform
What is the speed of light?,general
What are the key features of NPCYF?,platform
What is the minimum temperature in Bhubaneswar?,sql
Count of districts in Uttar Pradesh.,sql
What is the update frequency for APY data?,platform
What is Python?,general
What is NPCYF?,platform
What is the reservoir level of Punjab?,sql
What is the smallest bird?,general
What is a black hole?,general
Do aliens exist?,general
Is this a chatbot?,general
What is the difference between Ingestion and ETL?,platform
Give me the area under Maize cultivation in Thiruvananthapuram.,sql
What is NPCYF?,platform
How to validate data quality?,platform
How to access the Admin Management section?,platform
What was the total rainfall in Patna in 2000?,sql
What is the meaning of life?,general
What is the average rainfall in Punjab?,sql
What is Exogenous Estimation Config?,platform
Can you help me with math?,general
List all crops grown in Ludhiana.,sql
What is the email for platform administration?,platform
Thanks,general
What is the URL for UPAG data?,platform
How to access the Dashboard?,platform
Show me the production of Sugarcane in Uttar Pradesh for 2018.,sql
Thank you,general
What is the average rainfall in Kerala?,sql
What is the best programming language?,general
What is the average rainfall in Visakhapatnam?,sql
"What is the total rainfall for Bhubaneswar in December, 2000?",sql
Why is the sky blue?,general
What is the Training Dataset Analysis module?,platform
How to handle missing values in the dataset?,platform
What is FASAL 2.0?,platform
What is the yield of Potato in Thiruvananthapuram?,sql
How much Potato was produced in 2012?,sql
What was the total rainfall in Patna in 2003?,sql
What is the reservoir level of Thiruvananthapuram?,sql
What is the average rainfall in Kolkata?,sql
Sing a song.,general
What is the reservoir level of Bihar?,sql
I am bored.,general
Who won the world cup?,general
Show crop yields for 2008.,sql
How many countries in the world?,general
What permissions does a Project Owner have?,platform
What is your name?,general
Thank you,general
How to associate a dataset with a project?,platform
Who is the CEO of Google?,general
Who wrote Harry Potter?,general
What is the reservoir level of Uttar Pradesh?,sql
Who is a Super Admin?,platform
What is the yield of Rice in Thiruvananthapuram?,sql
Why is the sky blue?,general
How to create a new dataset?,platform
Who is a Super Admin?,platform
How to add a new crop to the system?,platform
What is the minimum temperature in Karnataka?,sql
How to use the AI Copilot?,platform
What is the color of the sky?,general
How to generate a forecast?,platform
Who is the CEO of Google?,general
"What is the total rainfall for Visakhapatnam in July, 2006?",sql
Count of districts in West Bengal.,sql
Who developed the NPCYF platform?,platform
Who discovered gravity?,general
What is the URL for UPAG data?,platform
How to generate a forecast?,platform
Count of districts in Bihar.,sql
What formats are supported for Rainfall data?,platform
What is the smallest bird?,general
How to access the Admin Management section?,platform
Explain Admin Management.,platform
What is Exogenous Estimation Config?,platform
How to view the logs?,platform
